6.3759867002e10	6209.0	402.0	25.25	44.31	101010.0	248.0
6.3759867322e10	6208.2	402.0	25.25	43.92	101010.0	296.0
6.3759867642e10	6207.5	402.0	25.25	43.92	101010.0	584.0
6.3759867962e10	6207.0	402.0	25.35	43.92	101010.0	496.0
6.3759868282e10	6206.5	404.0	25.35	43.92	101010.0	488.0
6.3759868602e10	6206.1	403.0	25.3	43.53	101010.0	440.0
6.3759868922e10	6205.6	404.0	25.25	43.14	101020.0	400.0
6.3759869242e10	6205.1	404.0	25.25	42.75	101020.0	472.0
6.3759869562e10	6204.7	403.0	25.35	42.75	101020.0	432.0
6.3759869882e10	6204.2	403.0	25.35	42.35	101020.0	392.0
6.3759870202e10	6203.7	403.0	25.35	41.96	101030.0	376.0
6.3759870522e10	6203.5	404.0	25.35	41.96	101040.0	368.0
6.3759870842e10	6203.0	403.0	25.35	41.18	101040.0	376.0
6.3759871162e10	6202.5	404.0	25.35	41.18	101040.0	352.0
6.3759871482e10	6201.9	404.0	25.35	41.18	101050.0	352.0
6.3759871802e10	6201.6	404.0	25.35	40.78	101050.0	384.0
6.3759872122e10	6201.1	404.0	25.35	40.78	101060.0	392.0
6.3759872442e10	6200.6	403.0	25.25	40.78	101070.0	272.0
6.3759872762e10	6199.9	403.0	25.25	40.78	101080.0	208.0
6.3759873082e10	6199.6	403.0	25.25	40.39	101080.0	216.0
6.3759873402e10	6199.2	404.0	25.25	40.39	101080.0	256.0
6.3759873722e10	6198.9	404.0	25.3	40.39	101080.0	288.0
6.3759874042e10	6198.5	404.0	25.35	40.78	101080.0	328.0
6.3759874362e10	6198.1	404.0	25.3	40.78	101090.0	368.0
6.3759874682e10	6197.7	404.0	25.3	40.78	101090.0	424.0
6.3759875002e10	6197.5	404.0	25.35	40.78	101090.0	432.0
6.3759875322e10	6197.1	404.0	25.35	40.78	101090.0	376.0
6.3759875642e10	6196.5	405.0	25.35	41.18	101100.0	328.0
6.3759875962e10	6196.2	405.0	25.35	40.78	101100.0	320.0
6.3759876282e10	6196.0	404.0	25.35	40.78	101110.0	336.0
6.3759876602e10	6195.5	405.0	25.35	41.18	101110.0	328.0
6.3759876922e10	6195.0	405.0	25.25	40.78	101120.0	312.0
6.3759877242e10	6194.6	405.0	25.3	40.78	101120.0	288.0
6.3759877562e10	6194.3	405.0	25.35	40.78	101120.0	296.0
6.3759877882e10	6193.9	405.0	25.3	40.78	101130.0	304.0
6.3759878202e10	6193.4	405.0	25.25	40.78	101130.0	272.0
6.3759878522e10	6193.1	405.0	25.25	40.78	101140.0	256.0
6.3759878842e10	6192.6	405.0	25.25	41.18	101140.0	224.0
6.3759879162e10	6192.2	405.0	25.25	41.18	101140.0	192.0
6.3759879482e10	6191.5	405.0	25.25	41.18	101140.0	160.0
6.3759879802e10	6191.4	406.0	25.4	41.57	101140.0	168.0
6.3759880122e10	6191.3	405.0	25.5	41.57	101150.0	144.0
6.3759880442e10	6191.1	406.0	25.55	41.57	101150.0	128.0
6.3759880762e10	6190.9	405.0	25.6	41.57	101160.0	121.0
6.3759881082e10	6190.9	405.0	25.65	41.57	101170.0	124.0
6.3759881402e10	6190.7	405.0	25.7	41.96	101170.0	125.0
6.3759881722e10	6190.8	405.0	25.75	41.96	101170.0	128.0
6.3759882042e10	6190.7	405.0	25.75	41.96	101180.0	123.0
6.3759882362e10	6190.4	405.0	25.7	42.35	101180.0	109.0
6.3759882682e10	6190.2	405.0	25.65	42.75	101180.0	99.0
6.3759883002e10	6190.0	405.0	25.6	43.14	101190.0	97.0
6.3759883322e10	6189.8	405.0	25.55	43.14	101190.0	91.0
6.3759883642e10	6189.6	405.0	25.55	43.53	101190.0	96.0
6.3759883962e10	6189.4	405.0	25.6	43.53	101190.0	107.0
6.3759884282e10	6189.2	405.0	25.6	43.53	101190.0	114.0
6.3759884602e10	6188.7	405.0	25.6	43.53	101180.0	112.0
6.3759884922e10	6188.5	405.0	25.6	43.53	101180.0	111.0
6.3759885242e10	6188.5	405.0	25.6	43.53	101180.0	109.0
6.3759876202e10	6196.0	405.0	25.4	40.78	101110.0	336.0
6.3759876362e10	6196.0	404.0	25.35	41.18	101110.0	336.0
6.3759876522e10	6195.7	405.0	25.35	41.18	101110.0	336.0
6.3759876682e10	6195.4	405.0	25.35	41.18	101120.0	328.0
6.3759876842e10	6195.1	405.0	25.3	41.18	101120.0	320.0
6.3759877002e10	6194.9	405.0	25.3	40.78	101120.0	312.0
6.3759877162e10	6194.8	405.0	25.3	41.18	101120.0	296.0
6.3759877322e10	6194.5	405.0	25.35	40.78	101120.0	288.0
6.3759877482e10	6194.4	405.0	25.35	41.18	101120.0	296.0
6.3759877642e10	6194.3	405.0	25.35	40.78	101130.0	296.0
6.3759877802e10	6194.1	405.0	25.35	40.78	101130.0	304.0
6.3759877962e10	6193.8	405.0	25.3	40.78	101130.0	304.0
6.3759878122e10	6193.5	405.0	25.3	40.78	101130.0	288.0
6.3759878282e10	6193.4	405.0	25.3	40.78	101130.0	256.0
6.3759878442e10	6193.2	405.0	25.3	40.78	101140.0	256.0
6.3759878602e10	6193.0	405.0	25.3	41.18	101140.0	256.0
6.3759878762e10	6192.7	405.0	25.3	41.18	101140.0	232.0
6.3759878922e10	6192.5	405.0	25.3	41.18	101140.0	224.0
6.3759879082e10	6192.4	405.0	25.25	41.18	101140.0	224.0
6.3759879242e10	6192.1	405.0	25.25	41.18	101140.0	168.0
6.3759879402e10	6191.7	405.0	25.25	41.18	101140.0	160.0
6.3759879562e10	6191.4	406.0	25.35	41.18	101140.0	160.0
